C3,C4,O1,O2,Cz,F3,F4,F7,F8,Fz,Fp1,Fp2,Fpz,P3,P4,Pz,T3,T4,T5,T6,ECGL,ECGR
mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV
-18.518,-41.4724,-40.6168,-40.2699,-14.5422,-25.5088,-8.6419,30.5248,10.4767,-8.5099,-2.5282,-21.3311,255.4884,-37.3567,-20.7424,-31.7769,-39.7908,9.1697,-45.6428,-35.7163,-55.7434,-76.3973
-15.4637,-37.462,-32.7615,-33.7261,-12.5391,-21.4897,-5.6188,37.5247,15.3211,-4.5317,2.501,-17.2681,129.5327,-32.7712,-15.4992,-25.2313,-33.2503,15.7222,-38.4324,-28.5091,-49.2106,-68.5499
-9.5079,-28.5156,-22.2878,-24.5648,-8.5328,-15.5101,3.4504,46.5663,24.4043,1.4999,12.4959,-7.6185,-302.5305,-25.5655,-6.3235,-17.3765,-24.7478,26.2062,-30.5665,-19.3363,-37.4515,-56.7788
-11.4932,-30.4694,-28.8338,-28.4911,-9.5344,-17.5197,1.435,42.483,20.7711,-0.55341,9.5038,-8.6342,-259.5177,-28.8409,-10.2559,-21.3039,-29.3261,24.2404,-34.4994,-23.2675,-42.6778,-63.3183
-18.518,-40.5469,-39.3075,-37.6524,-14.5422,-24.4795,-7.6342,32.5664,10.4767,-7.4832,-1.5096,-20.3153,184.5174,-37.3567,-18.7762,-30.4678,-39.7908,10.4802,-46.2983,-34.4059,-57.7032,-79.6671
-17.449,-39.5186,-35.3799,-34.3805,-14.5422,-24.4795,-7.6342,33.4414,10.4767,-6.4566,-0.49106,-20.3153,231.473,-36.7016,-17.4654,-29.8132,-38.4827,12.446,-44.3318,-33.7507,-57.7032,-76.3973
-10.4242,-28.5156,-21.6331,-23.2561,-8.5328,-17.5197,2.4427,45.5455,22.5877,0.47323,10.5224,-9.65,-206.4686,-26.2206,-6.3235,-19.3402,-27.3639,25.5509,-32.533,-20.6467,-40.7179,-59.3946
-9.5079,-26.4589,-22.2878,-22.6017,-8.5328,-16.4904,4.4581,45.5455,21.3766,0.47323,12.4959,-7.6185,-334.5033,-25.5655,-5.6681,-18.6857,-26.7099,26.2062,-31.222,-19.3363,-37.4515,-59.3946
-16.5328,-36.5365,-34.7253,-34.3805,-12.5391,-23.4992,-4.6111,34.4622,12.2934,-5.5583,1.4824,-18.2838,74.4764,-33.4263,-14.8438,-26.5404,-37.8286,14.4117,-42.3653,-30.4747,-52.477,-75.7434
-18.518,-40.5469,-35.3799,-36.3437,-13.5407,-24.4795,-8.6419,32.5664,8.6601,-7.4832,-1.5096,-22.3468,277.4966,-36.7016,-17.4654,-29.8132,-41.7529,9.1697,-43.6763,-34.4059,-56.3966,-79.6671
-10.4242,-31.4977,-24.2516,-24.5648,-9.5344,-19.4802,-1.588,42.483,16.5322,-1.4517,5.4931,-15.7445,-79.5093,-28.8409,-8.2897,-20.6493,-31.2882,20.3089,-34.4994,-24.5779,-42.6778,-63.3183
-8.4389,-27.4872,-20.3239,-21.2929,-6.5297,-16.4904,2.4427,45.5455,19.56,-0.55341,9.5038,-11.6815,-356.5115,-25.5655,-4.3573,-14.7583,-27.3639,25.5509,-30.5665,-19.3363,-35.4917,-58.7406
-14.5475,-35.5081,-29.4884,-30.4542,-8.5328,-23.4992,-5.6188,34.4622,9.2656,-6.4566,0.52752,-21.3311,-52.4829,-31.4611,-12.2222,-22.613,-36.5205,14.4117,-38.4324,-28.5091,-47.2507,-71.8197
