C3,C4,O1,O2,Cz,F3,F4,F7,F8,Fz,Fp1,Fp2,Fpz,P3,P4,Pz,T3,T4,T5,T6,ECGL,ECGR
-160.5475,-72.5081,-263.5082,-255.6155,-378.4591,-120.5006,-39.588,254.5247,46.7988,42.4999,158.5252,-11.5555,219.5066,-14.287100000000002,-99.4992,-311.3225,-3.5962999999999994,25.5852,-126.4324,-115.2675,96.71979999999999,-148.351
-154.4389,-62.5334,-250.4161,-244.4911,-372.5407,-114.5211,-30.5188,264.4413,55.2765,49.558,167.5014,-2.4138,-190.4767,-5.7712,-90.3235,-299.5404,6.214400000000001,39.3454,-115.289,-103.4738,110.43871,-133.3101
-153.5226,-59.5513,-248.4523,-242.528,-370.5375,-113.4918,-27.4957,266.483,58.3042,51.483000000000004,169.4749,0.6334999999999997,-391.4897,-2.495899999999999,-88.3573,-297.5767,9.4846,42.6216,-113.3225,-100.853,114.3584,-129.3864
-159.4785,-68.4977,-259.5806,-253.6524,-374.5438,-120.5006,-35.5573,256.5663,48.6154,43.5265,159.4801,-8.50824,-32.4765,-10.356699999999996,-97.533,-306.7406,0.3279999999999994,31.4824,-122.49940000000001,-110.6811,99.333,-146.38909999999998
-163.449,-73.53649999999999,-262.85360000000003,-255.6155,-377.4575,-124.5197,-41.6034,251.4622,44.376599999999996,39.5483,153.4959,-14.602699999999999,243.52210000000002,-13.631999999999998,-100.81,-310.66790000000003,-4.250300000000003,25.5852,-125.7769,-114.6123,92.1469,-152.2747
-157.4932,-64.4872,-251.7253,-245.7999,-373.5422,-118.4911,-34.5496,261.5246,54.6709,45.4515,162.4722,-7.49249,-61.5101,-5.7712,-92.2897,-301.5041,3.5981999999999985,35.4139,-116.6,-105.4395,105.2125,-138.5417
-153.5226,-59.5513,-245.8338,-240.5648,-369.536,-113.4918,-28.5034,267.5038,59.5153,50.4564,168.52,0.6334999999999997,-396.5078,0.779399999999999,-87.7019,-294.3039,10.1386,42.6216,-112.6671,-99.5426,112.3986,-131.3482
-157.4932,-65.5156,-253.6891,-248.4174,-372.5407,-118.4911,-34.5496,259.483,51.6432,44.5532,160.49869999999999,-7.49249,-153.4857,-5.7712,-92.2897,-301.5041,3.5981999999999985,34.7586,-118.5665,-106.7499,102.5994,-144.4273
-163.449,-74.462,-262.85360000000003,-256.2699,-375.5454,-125.4999,-42.6111,251.4622,43.771100000000004,38.5216,151.5224,-16.6342,229.4712,-11.666800000000002,-99.4992,-307.3951,-4.250300000000003,23.6194,-126.4324,-115.2675,90.187,-156.8523
-160.5475,-68.4977,-253.6891,-248.4174,-373.5422,-120.5006,-37.57265,256.5663,49.221000000000004,42.4999,156.488,-11.5555,59.4991,-6.426299999999998,-95.5668,-302.8132,2.290099999999999,29.5167,-120.533,-109.3707,96.71979999999999,-149.6589
-154.4389,-58.522999999999996,-243.2154,-240.5648,-369.536,-115.5013,-29.5111,266.483,57.6987,46.4781,165.5279,-2.4138,-358.5132,0.779399999999999,-86.3911,-293.6493,11.4467,41.3111,-112.6671,-100.853,107.1723,-137.2338
-154.4389,-60.4768,-248.4523,-243.8367,-370.5375,-118.4911,-31.5265,261.5246,54.6709,44.5532,160.49869999999999,-4.4453,-274.495,-1.8409000000000013,-88.3573,-295.613,7.522400000000001,37.3796,-116.6,-103.4738,101.2928,-145.7352
-161.4637,-69.52600000000001,-257.6168,-251.6893,-373.5422,-126.4802,-40.5957,250.4414,43.771100000000004,38.5216,149.4852,-16.6342,168.5365,-8.3915,-96.2222,-303.4678,-1.6341999999999999,25.5852,-125.7769,-114.6123,86.2674,-161.43
-159.4785,-68.4977,-253.6891,-248.4174,-373.5422,-125.4999,-40.5957,251.4622,45.5877,39.5483,149.4852,-15.618500000000001,170.4721,-6.426299999999998,-93.6005,-300.8495,0.3279999999999994,26.2404,-123.8104,-111.3363,87.5739,-159.4682
-152.4536,-58.522999999999996,-241.2516,-238.6017,-367.5328,-118.4911,-31.5265,261.5246,55.2765,44.5532,159.4801,-7.49249,-276.5022,1.4344999999999999,-84.42494,-291.6857,10.1386,38.6901,-113.3225,-101.5082,100.6395,-146.38909999999998
-153.5226,-58.522999999999996,-244.5246,-242.528,-367.5328,-118.4911,-30.5188,259.483,54.6709,44.5532,160.49869999999999,-6.4767,-363.5314,2.7445999999999984,-86.3911,-291.6857,8.1765,38.6901,-115.289,-103.4738,97.3731,-149.6589
-161.4637,-68.4977,-257.6168,-253.6524,-371.5391,-127.5094,-40.5957,248.5456,41.3489,37.495,147.5117,-17.65,65.5209,-6.426299999999998,-97.533,-301.5041,-3.5962999999999994,23.6194,-126.4324,-116.5779,79.7346,-169.2774
-162.5328,-72.5081,-257.6168,-254.3068,-373.5422,-129.519,-43.6188,245.4831,39.5322,36.4683,144.5196,-21.713,228.4676,-9.7016,-99.4992,-303.4678,-7.520499999999998,19.6879,-127.74340000000001,-119.8539,73.20179999999999,-173.8551
-156.4242,-63.4589,-245.8338,-244.4911,-369.536,-123.4904,-34.5496,254.5247,50.4321,42.4999,153.4959,-12.571200000000001,-154.4894,-0.5306999999999995,-90.3235,-295.613,1.636099999999999,31.4824,-119.22200000000001,-109.3707,85.61410000000001,-161.43
-155.5079,-60.4768,-245.8338,-243.8367,-367.5328,-121.4809,-30.5188,256.5663,53.4598,43.5265,156.488,-8.50824,-397.5115,-0.5306999999999995,-87.7019,-293.6493,3.5981999999999985,34.7586,-117.2555,-107.4051,88.2272,-159.4682
-161.4637,-68.4977,-257.6168,-253.6524,-371.5391,-128.4897,-38.58034,245.4831,43.771100000000004,37.495,146.4931,-16.6342,-63.517399999999995,-7.736400000000003,-97.533,-301.5041,-6.212499999999999,22.3089,-128.3989,-118.5435,71.2419,-177.7788
-166.5033,-75.49029999999999,-261.5444,-258.2331,-373.5422,-132.5088,-44.6265,239.5039,36.5045,33.5168,140.50894,-25.2681,242.51839999999999,-13.631999999999998,-103.4316,-306.7406,-11.4448,13.7907,-134.29829999999998,-125.7507,61.4427,-188.24200000000002
-160.5475,-70.45150000000001,-251.7253,-249.7261,-371.5391,-127.5094,-38.58034,248.5456,43.771100000000004,38.5216,147.5117,-20.697200000000002,-32.4765,-7.736400000000003,-96.2222,-298.2313,-3.5962999999999994,21.6537,-127.74340000000001,-116.5779,68.6288,-178.4327
-156.4242,-64.4872,-244.5246,-243.8367,-367.5328,-122.5101,-32.5342,254.5247,48.6154,42.4999,154.5145,-12.571200000000001,-394.5006,-1.8409000000000013,-91.6343,-292.3402,3.5981999999999985,29.5167,-121.84389999999999,-110.6811,76.4682,-171.23930000000001
